Sleep_Current,Motor_Peak_Current,Failure_Mode
0.0000287,0.563529188,LOCK POSITION CONFIRMATION Error
0.0000304,0.580706427,LOCK POSITION CONFIRMATION Error
0.0000289,0.545402855,LOCK POSITION CONFIRMATION Error
0.0000272,0.454933189,LOCK POSITION CONFIRMATION Error
0.0000288,0.537229775,LOCK POSITION CONFIRMATION Error
0.0000288,0.536215117,LOCK POSITION CONFIRMATION Error
0.0000275,0.455369273,LOCK POSITION CONFIRMATION Error
0.0000364,0.521495847,LOCK POSITION CONFIRMATION Error
0.0000272,0.553586271,LOCK POSITION CONFIRMATION Error
0.0000262,0.441812962,LOCK POSITION CONFIRMATION Error
0.0000258,0.575839792,LOCK POSITION CONFIRMATION Error
0.0000302,0.471889961,LOCK POSITION CONFIRMATION Error
0.0000249,0.542684819,LOCK POSITION CONFIRMATION Error
0.0000321,0.562859091,LOCK POSITION CONFIRMATION Error
0.0000321,0.589678628,LOCK POSITION CONFIRMATION Error
0.0000277,0.549354387,LOCK POSITION CONFIRMATION Error
0.0000263,0.560585073,LOCK POSITION CONFIRMATION Error
0.0000252,0.556079827,LOCK POSITION CONFIRMATION Error
0.0000296,0.441781544,LOCK POSITION CONFIRMATION Error
0.0000271,0.468803902,LOCK POSITION CONFIRMATION Error
0.0000295,0.474366492,LOCK POSITION CONFIRMATION Error
0.0000275,0.571243774,LOCK POSITION CONFIRMATION Error
0.0000279,0.476632263,LOCK POSITION CONFIRMATION Error
0.0000275,0.549415001,LOCK POSITION CONFIRMATION Error
0.0000301,0.485861754,LOCK POSITION CONFIRMATION Error
0.0000294,0.503584673,LOCK POSITION CONFIRMATION Error
0.0000225,0.454770222,LOCK POSITION CONFIRMATION Error
0.000025,0.624098335,LOCK POSITION CONFIRMATION Error
0.000025,0.610751891,LOCK POSITION CONFIRMATION Error
0.000025,0.61067475,LOCK POSITION CONFIRMATION Error
0.0000297,0.546586372,LOCK POSITION CONFIRMATION Error
0.0000232,0.459692867,LOCK POSITION CONFIRMATION Error
0.0000317,0.547777179,LOCK POSITION CONFIRMATION Error
0.0000284,0.506378697,LOCK POSITION CONFIRMATION Error
0.0000328,0.499646975,LOCK POSITION CONFIRMATION Error
0.0000279,0.537934173,LOCK POSITION CONFIRMATION Error
0.0000273,0.561105983,LOCK POSITION CONFIRMATION Error
0.0000314,0.561057152,LOCK POSITION CONFIRMATION Error
0.0000314,0.560472283,LOCK POSITION CONFIRMATION Error
0.0000328,0.561604674,LOCK POSITION CONFIRMATION Error
0.0000313,0.543734577,LOCK POSITION CONFIRMATION Error
0.0000317,0.543498362,LOCK POSITION CONFIRMATION Error
0.0000275,0.556963621,LOCK POSITION CONFIRMATION Error
0.0000291,0.559917821,LOCK POSITION CONFIRMATION Error
0.0000307,0.448674646,LOCK POSITION CONFIRMATION Error
0.0000312,0.510840552,LOCK POSITION CONFIRMATION Error
0.0000328,0.609355674,LOCK POSITION CONFIRMATION Error
0.0000286,0.541601559,LOCK POSITION CONFIRMATION Error
0.0000303,0.551903913,LOCK POSITION CONFIRMATION Error
0.0000291,0.555763277,LOCK POSITION CONFIRMATION Error
0.0000243,0.531091155,LOCK POSITION CONFIRMATION Error
0.0000254,0.472349208,LOCK POSITION CONFIRMATION Error
0.0000275,0.548185699,LOCK POSITION CONFIRMATION Error
0.0000236,0.545057046,LOCK POSITION CONFIRMATION Error
0.0000273,0.553456056,LOCK POSITION CONFIRMATION Error
0.0000252,0.547729697,LOCK POSITION CONFIRMATION Error
0.0000304,0.499764655,LOCK POSITION CONFIRMATION Error
0.0000239,0.47836176,LOCK POSITION CONFIRMATION Error
0.0000322,0.551151433,LOCK POSITION CONFIRMATION Error
0.0000322,0.599511009,LOCK POSITION CONFIRMATION Error
0.0000322,0.477382845,LOCK POSITION CONFIRMATION Error
0.0000286,0.550486178,LOCK POSITION CONFIRMATION Error
0.0000316,0.555421263,LOCK POSITION CONFIRMATION Error
0.0000245,0.477566785,LOCK POSITION CONFIRMATION Error
