SEGMENT1,DESCRIPTION,INVENTORY_ITEM_STATUS_CODE,MODEL,CATALOG,FUNCION,PACKAGING,OUTSIDEDESIGNDSG,OUTSIDEFINISHFIN,INSIDEDESIGNDSG,INSIDEFINISHFIN,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ESCUTCHEONOUTSIDEDESIGNDSG,ROSEOUTSIDEFINISHFIN,ROSEINSIDEDESIGNDSG,ESCUTCHEONINSIDEDESIGNDSG,ROSEINSIDEFINISHFIN,HANDING,LATCH,LATCHFINISHFIN,STRIKE,STRIKEFINISHFIN,DOORTHICKNESS,PLANNER_CODE
043156104673,LOCK.F40.ACC.622.621.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,622,,621,,,,,,,,,RH,16-080,,10-027,,134,F40BL
043156105564,LOCK.F51A.ACC.619.16-207.10-026.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,619,,,,,,,,,,,,16-207,,10-026,,134,F51BLT
FKL-SLLK*7526178,LOCK.F51A.PLY.716.ADD..16-207.10-026.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PLY,716,,,ADD.,ADD.,ADD.,,,,,,,16-207,,10-026,,134,F51BKSDU
FKL-SLLK*7526172,LOCK.F51A.PLY.609.619.16-207.10-026.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,PLY,609,,619,,,,,,,,,,16-207,,10-026,,134,F51BKS
043156109449,LOCK.F40.LAT.619.ULD..16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,LAT,619,,,ULD.,ULD.,ULD.,,,,,,,16-210,,10-027,,134,F40BLDT
FKL-SLLK*7530288,LOCK.F51A.ACC.625.16-086.10-027.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,625,,,,,,,,,,,,16-086,,10-027,,134,F51BLT
194555074569,LOCK.F51A.SIE.619.GRW..16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SIE,619,,,GRW.,GRW.,GRW.,,,,,,,16-211,,10-063,,134,F51BKRDT
FKL-SLLK*8567819,LOCK.F51A.ELA.626.16-086.10-027.134.MK.DETAIL.C.48-180.4,ACTIVE,FKL-SLLK,LOCK,F51A,,ELA,626,,,,,,,,,,,,16-086,,10-027,,134,F51BL
FKL-SLLK*8658031,LOCK.F51A.ORB.505.605.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ORB,505,,605,,,,,,,,,,16-086,,10-027,,134,F51BKS
FKL-SLLK*8658027,LOCK.F51A.MNH.619.CEN..16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,MNH,619,,,CEN.,CEN.,CEN.,,,,,,,16-086,,10-027,,134,F51BLD
FKL-SLLK*8658029,LOCK.F51A.FLA.716.16-086.10-027.134.KA.DETAIL.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,FLA,716,,,,,,,,,,,,16-086,,10-027,,134,F51BL
194555094529,LOCK.F51A.ELR.622.625.CEN..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELR,622,,625,CEN.,CEN.,CEN.,,,,,,,16-086,,10-027,,134,F51BLD
194555094536,LOCK.F51A.CF.LAT.619.COL..16-203.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,LAT,619,,,COL.,COL.,COL.,,,,,,,16-203,,10-027,,134,F51BLDU
043156529193,LOCK.F51A.SAC.618.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,SAC,618,,,,,,,,,,,,16-211,,10-063,,134,F51BLT
194555100718,LOCK.F51A.ACC.609.ADD..16-207.10-026.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,609,,,ADD.,ADD.,ADD.,,,,,,,16-207,,10-026,,134,F51BLD
194555110472,LOCK.F51A.ACC.605.AND..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,605,,,AND.,AND.,AND.,,,,,,,16-086,,10-027,,134,F51BL
043156510320,LOCK.F40.VLA.716.WKF..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,VLA,716,,,WKF.,WKF.,WKF.,,,,,,,16-080,,10-027,,134,F40BLD
061045961350,LOCK.F51.D.ORB.605.16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51,D,ORB,605,,,,,,,,,,,,16-086,,10-027,,134,F51DKS
061045961299,LOCK.F51.D.PLY.605.16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51,D,PLY,605,,,,,,,,,,,,16-086,,10-027,,134,F51DKS
043156556885,LOCK.F51.V.FLA.605.16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51,V,FLA,605,,,,,,,,,,,,16-086,,10-027,,134,F51VL
043156179732,LOCK.F51.Z.GEO.609.16-211.10-063.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51,Z,GEO,609,,,,,,,,,,,,16-211,,10-063,,134,F51ZKST
043156427529,LOCK.F51A.ACC.505.BRK..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,505,,,BRK.,BRK.,BRK.,,,,,,,16-086,,10-027,,134,F51BLD
043156427574,LOCK.F51A.ACC.605.BRK..16-086.10-027.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,605,,,BRK.,BRK.,BRK.,,,,,,,16-086,,10-027,,134,F51BLD
043156421749,LOCK.F51A.ACC.619.16-211.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,619,,,,,,,,,,,,16-211,,10-027,,134,F51BLT
043156426294,LOCK.F51A.ACC.619.ADD..16-086.10-027.134.KA3.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,619,,,ADD.,ADD.,ADD.,,,,,,,16-086,,10-027,,134,F51BLD
043156426300,LOCK.F51A.ACC.619.CAM..16-086.10-027.134.KA3.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,619,,,CAM.,CAM.,CAM.,,,,,,,16-086,,10-027,,134,F51BLD
043156421275,LOCK.F51A.ACC.625.16-086.10-027.134.KA4.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,625,,,,,,,,,,,,16-086,,10-027,,134,F51BL
S00030267480,LOCK.F40.ACC.619.716.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,716,,,,,,,,,RH,16-080,,10-027,,134,F40BL
043156513321,LOCK.F40.ACC.619.ADD..16-080.LLL.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,ADD.,ADD.,ADD.,,,,,,,16-080,,LLL,,134,F40BLD
043156400829,LOCK.F40.ACC.619.ADD..16-200.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,ADD.,ADD.,ADD.,,,,,,,16-200,,10-026,,134,F40BLD
043156728220,LOCK.F40.ACC.619.ADD..16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,ADD.,ADD.,ADD.,,,,,,,16-210,,10-027,,134,F40BLDT
043156639557,LOCK.F40.ACC.619.AND..16-200.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,AND.,AND.,AND.,,,,,,,16-200,,10-026,,134,F40BL
043156477654,LOCK.F40.ACC.619.AND..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,AND.,AND.,AND.,,,,,,,16-210,,10-063,,134,F40BLT
043156634835,LOCK.F40.ACC.619.AND.LH.16-200.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,AND,,,,,,,,,,LH,16-200,,10-026,,134,F40BL
043156641536,LOCK.F40.ACC.619.AND..RH.16-200.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,AND.,AND.,AND.,,,,,,RH,16-200,,10-026,,134,F40BL
043156634828,LOCK.F40.ACC.619.AND.RH.16-200.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,AND,,,,,,,,,,RH,16-200,,10-026,,134,F40BL
043156619665,LOCK.F40.ACC.619.BIR.ADD..LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,BIR,,ADD.,ADD.,ADD.,,,,,,LH,16-080,,10-027,,134,F40BLD
043156619658,LOCK.F40.ACC.619.BIR.ADD..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,BIR,,ADD.,ADD.,ADD.,,,,,,RH,16-080,,10-027,,134,F40BLD
043156550036,LOCK.F40.ACC.619.BRK..16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,BRK.,BRK.,BRK.,,,,,,,16-210,,10-027,,134,F40BLDT
043156355242,LOCK.F40.ACC.619.CAM..16-200.10-025.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,CAM.,CAM.,CAM.,,,,,,,16-200,,10-025,,134,F40BLD
043156531332,LOCK.F40.ACC.619.CAM..16-200.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,CAM.,CAM.,CAM.,,,,,,,16-200,,10-026,,134,F40BLD
043156419722,LOCK.F40.ACC.619.CAM..16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,CAM.,CAM.,CAM.,,,,,,,16-210,,10-027,,134,F40BLDT
043156338856,LOCK.F40.ACC.619.CAM..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,CAM.,CAM.,CAM.,,,,,,RH,16-080,,10-027,,134,F40BLD
043156551354,LOCK.F40.ACC.619.CEN..16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,CEN.,CEN.,CEN.,,,,,,,16-210,,10-027,,134,F40BLDT
043156347032,LOCK.F40.ACC.619.CEN..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,CEN.,CEN.,CEN.,,,,,,,16-210,,10-063,,134,F40BLDT
043156628391,LOCK.F40.ACC.619.COL..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,COL.,COL.,COL.,,,,,,,16-210,,10-063,,134,F40BLDT
043156569342,LOCK.F40.ACC.619.GRW..16-200.10-001.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,GRW.,GRW.,GRW.,,,,,,,16-200,,10-001,,134,F40BLD
043156553143,LOCK.F40.ACC.619.GRW..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,ACC,619,,,GRW.,GRW.,GRW.,,,,,,,16-210,,10-063,,134,F40BLDT
043156611553,LOCK.F40.AVA.620.AND..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,620,,,AND.,AND.,AND.,,,,,,,16-080,,10-027,,134,F40BL
043156463442,LOCK.F40.AVA.620.CAM..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,620,,,CAM.,CAM.,CAM.,,,,,,,16-080,,10-027,,134,F40BLD
S00030043978,LOCK.F40.AVA.625.16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,625,,,,,,,,,,,,16-210,,10-063,,134,F40BLT
043156460663,LOCK.F40.AVA.625.ADD..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,625,,,ADD.,ADD.,ADD.,,,,,,,16-080,,10-027,,134,F40BLD
043156550586,LOCK.F40.AVA.625.AND..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,625,,,AND.,AND.,AND.,,,,,,,16-080,,10-027,,134,F40BL
043156457694,LOCK.F40.AVA.625.CAM..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,625,,,CAM.,CAM.,CAM.,,,,,,,16-080,,10-027,,134,F40BLD
043156618040,LOCK.F40.AVA.625.CEN..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,625,,,CEN.,CEN.,CEN.,,,,,,,16-080,,10-027,,134,F40BLD
043156551736,LOCK.F40.AVA.716.16-080.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,716,,,,,,,,,,,,16-080,,10-063,,134,F40BL
043156007332,LOCK.F40.AVA.716.16-210.10-001.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,716,,,,,,,,,,,,16-210,,10-001,,134,F40BLT
S00030703636,LOCK.F40.AVA.716.619.LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,716,,619,,,,,,,,,LH,16-080,,10-027,,134,F40BL
S00030240308,LOCK.F40.AVA.716.619.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,716,,619,,,,,,,,,RH,16-080,,10-027,,134,F40BL
S00030644878,LOCK.F40.AVA.716.625.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,716,,625,,,,,,,,,RH,16-080,,10-027,,134,F40BL
043156413652,LOCK.F40.AVA.716.ADD..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,716,,,ADD.,ADD.,ADD.,,,,,,,16-080,,10-027,,134,F40BLD
043156613045,LOCK.F40.AVA.716.ADD..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,716,,,ADD.,ADD.,ADD.,,,,,,,16-210,,10-063,,134,F40BLDT
043156612031,LOCK.F40.AVA.716.BRK..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,AVA,716,,,BRK.,BRK.,BRK.,,,,,,,16-080,,10-027,,134,F40BLD
043156547586,LOCK.F40.BP.BEL.605.16-080.10-058.134.BPS,ACTIVE,FKL-SLLK,LOCK,F40,BP,BEL,605,,,,,,,,,,,,16-080,,10-058,,134,F40BKSP
S00020041731,LOCK.F40.BEL.605.16-200.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,BEL,605,,,,,,,,,,,,16-200,,10-027,,134,F40BKSP
S00022668158,LOCK.F40.BEL.605.16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,BEL,605,,,,,,,,,,,,16-210,,10-027,,134,F40BKSTP
S00030061941,LOCK.F40.BEL.605.626.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,BEL,605,,626,,,,,,,,,,16-080,,10-027,,134,F40BKSP
043156556052,LOCK.F40.BEL.605.GEO.619.16-210.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,BEL,605,GEO,619,,,,,,,,,,16-210,,10-026,,134,F40BKSTP
043156634132,LOCK.F40.BEL.605.VLA.626.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,BEL,605,VLA,626,,,,,,,,,,16-080,,10-027,,134,F40BKSP
S00030023826,LOCK.F40.BEL.609.16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,BEL,609,,,,,,,,,,,,16-210,,10-063,,134,F40BKSTP
S00030000070,LOCK.F40.CLT.609.AND..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,609,,,AND.,AND.,AND.,,,,,,,16-210,,10-063,,134,F40BLT
S00030066830,LOCK.F40.CLT.609.AND..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,609,,,AND.,AND.,AND.,,,,,,RH,16-080,,10-027,,134,F40BL
S00029873425,LOCK.F40.CLT.609.AND..RH.16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,609,,,AND.,AND.,AND.,,,,,,RH,16-210,,10-063,,134,F40BLT
043156458011,LOCK.F40.CLT.609.BRK..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,609,,,BRK.,BRK.,BRK.,,,,,,,16-210,,10-063,,134,F40BLDT
043156509898,LOCK.F40.CLT.613.622.LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,613,,622,,,,,,,,,LH,16-080,,10-027,,134,F40BL
043156552542,LOCK.F40.CLT.613.625.WKF..LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,613,,625,WKF.,WKF.,WKF.,,,,,,LH,16-080,,10-027,,134,F40BLD
043156552559,LOCK.F40.CLT.613.625.WKF..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,613,,625,WKF.,WKF.,WKF.,,,,,,RH,16-080,,10-027,,134,F40BLD
043156460557,LOCK.F40.CLT.613.CAM..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,613,,,CAM.,CAM.,CAM.,,,,,,,16-080,,10-027,,134,F40BLD
043156360567,LOCK.F40.CLT.613.WKF..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,613,,,WKF.,WKF.,WKF.,,,,,,,16-080,,10-027,,134,F40BLD
043156644001,LOCK.F40.CLT.619.16-200.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,619,,,,,,,,,,,,16-200,,10-063,,134,F40BL
043156504855,LOCK.F40.CLT.619.605.BRK..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,619,,605,BRK.,BRK.,BRK.,,,,,,RH,16-080,,10-027,,134,F40BLD
043156479009,LOCK.F40.CLT.619.605.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,619,,605,,,,,,,,,RH,16-080,,10-027,,134,F40BL
043156474363,LOCK.F40.CLT.619.ADD..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,619,,,ADD.,ADD.,ADD.,,,,,,,16-080,,10-027,,134,F40BLD
S00030716049,LOCK.F40.CLT.619.AND..16-080.10-001.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,619,,,AND.,AND.,AND.,,,,,,,16-080,,10-001,,134,F40BL
S00030050242,LOCK.F40.CLT.619.AND..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,619,,,AND.,AND.,AND.,,,,,,RH,16-080,,10-027,,134,F40BL
043156418145,LOCK.F40.CLT.619.CAM..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,619,,,CAM.,CAM.,CAM.,,,,,,,16-080,,10-027,,134,F40BLD
043156038923,LOCK.F40.CLT.619.CAM..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,619,,,CAM.,CAM.,CAM.,,,,,,,16-210,,10-063,,134,F40BLDT
043156643998,LOCK.F40.CLT.619.RH.16-200.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,619,,,,,,,,,,,RH,16-200,,10-063,,134,F40BL
043156346738,LOCK.F40.CLT.619.WKF..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,619,,,WKF.,WKF.,WKF.,,,,,,,16-080,,10-027,,134,F40BLD
043156520466,LOCK.F40.CLT.620.16-210.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,620,,,,,,,,,,,,16-210,,10-026,,134,F40BLT
043156503803,LOCK.F40.CLT.620.ADD..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,620,,,ADD.,ADD.,ADD.,,,,,,,16-080,,10-027,,134,F40BLD
S00030000889,LOCK.F40.CLT.620.AND..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,620,,,AND.,AND.,AND.,,,,,,,16-210,,10-063,,134,F40BLT
043156516254,LOCK.F40.CLT.620.CAM..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,620,,,CAM.,CAM.,CAM.,,,,,,,16-080,,10-027,,134,F40BLD
043156497591,LOCK.F40.CLT.620.WKF..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,CLT,620,,,WKF.,WKF.,WKF.,,,,,,,16-210,,10-063,,134,F40BLDT
043156491889,LOCK.F40.GEO.619.716.BRK..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,,716,BRK.,BRK.,BRK.,,,,,,,16-080,,10-027,,134,F40BKSD
043156444120,LOCK.F40.GEO.619.716.CAM..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,,716,CAM.,CAM.,CAM.,,,,,,,16-080,,10-027,,134,F40BKSD
043156497126,LOCK.F40.GEO.619.ACC.622.WKF..LH.16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,ACC,622,WKF.,WKF.,WKF.,,,,,,LH,16-210,,10-027,,134,F40BLDT
043156497119,LOCK.F40.GEO.619.ACC.622.WKF..RH.16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,ACC,622,WKF.,WKF.,WKF.,,,,,,RH,16-210,,10-027,,134,F40BLDT
043156654765,LOCK.F40.GEO.619.ACC.ADD..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,ACC,,ADD.,ADD.,ADD.,,,,,,RH,16-080,,10-027,,134,F40BLD
043156550678,LOCK.F40.GEO.619.ADD..16-210.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,,,ADD.,ADD.,ADD.,,,,,,,16-210,,10-026,,134,F40BKSDT
043156503735,LOCK.F40.GEO.619.AND.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,AND,,,,,,,,,,,16-080,,10-027,,134,F40BKS
043156514557,LOCK.F40.GEO.619.CEN..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,,,CEN.,CEN.,CEN.,,,,,,,16-080,,10-027,,134,F40BKSD
043156550845,LOCK.F40.GEO.619.CLT.LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,CLT,,,,,,,,,,LH,16-080,,10-027,,134,F40BL
043156550838,LOCK.F40.GEO.619.CLT.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,CLT,,,,,,,,,,RH,16-080,,10-027,,134,F40BL
043156545315,LOCK.F40.GEO.619.FLA.LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,FLA,,,,,,,,,,LH,16-080,,10-027,,134,F40BL
043156545308,LOCK.F40.GEO.619.FLA.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,FLA,,,,,,,,,,RH,16-080,,10-027,,134,F40BL
043156361496,LOCK.F40.GEO.619.WKF..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,619,,,WKF.,WKF.,WKF.,,,,,,,16-210,,10-063,,134,F40BKSDT
043156414055,LOCK.F40.GEO.620.16-080.LLL.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,620,,,,,,,,,,,,16-080,,LLL,,134,F40BKS
S00027180167,LOCK.F40.GEO.620.16-210.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,620,,,,,,,,,,,,16-210,,10-027,,134,F40BKST
S00029996582,LOCK.F40.GEO.620.625.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,620,,625,,,,,,,,,,16-080,,10-027,,134,F40BKS
043156513123,LOCK.F40.GEO.620.625.WKF..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,620,,625,WKF.,WKF.,WKF.,,,,,,,16-080,,10-027,,134,F40BKSD
043156534371,LOCK.F40.GEO.620.ADD..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,620,,,ADD.,ADD.,ADD.,,,,,,,16-210,,10-063,,134,F40BKSDT
043156543199,LOCK.F40.GEO.621.16-210.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,621,,,,,,,,,,,,16-210,,10-026,,134,F40BKRTP
043156636068,LOCK.F40.GEO.621.619.ADD..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,621,,619,ADD.,ADD.,ADD.,,,,,,,16-080,,10-027,,134,F40BKRD
043156723225,LOCK.F40.GEO.621.620.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,621,,620,,,,,,,,,,16-080,,10-027,,134,F40BKRP
043156344215,LOCK.F40.GEO.621.625.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,621,,625,,,,,,,,,,16-080,,10-027,,134,F40BKRP
043156539017,LOCK.F40.GEO.622.16-080.10-001.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,622,,,,,,,,,,,,16-080,,10-001,,134,F40BKR
S00030340633,LOCK.F40.GEO.622.16-200.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,GEO,622,,,,,,,,,,,,16-200,,10-026,,134,F40BKR
043156359929,LOCK.F40.MER.622.16-200.10-026.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,,,,,,,,,,,16-200,,10-026,,134,F40BL
043156034970,LOCK.F40.MER.622.625.ADD..LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,625,ADD.,ADD.,ADD.,,,,,,LH,16-080,,10-027,,134,F40BLD
043156034963,LOCK.F40.MER.622.625.ADD..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,625,ADD.,ADD.,ADD.,,,,,,RH,16-080,,10-027,,134,F40BLD
043156451432,LOCK.F40.MER.622.625.LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,625,,,,,,,,,LH,16-080,,10-027,,134,F40BL
043156394135,LOCK.F40.MER.622.625.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,625,,,,,,,,,RH,16-080,,10-027,,134,F40BL
043156529780,LOCK.F40.MER.622.626.LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,626,,,,,,,,,LH,16-080,,10-027,,134,F40BL
043156529773,LOCK.F40.MER.622.626.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,626,,,,,,,,,RH,16-080,,10-027,,134,F40BL
043156488827,LOCK.F40.MER.622.716.LH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,716,,,,,,,,,LH,16-080,,10-027,,134,F40BL
043156489879,LOCK.F40.MER.622.716.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,716,,,,,,,,,RH,16-080,,10-027,,134,F40BL
043156519675,LOCK.F40.MER.622.ADD..16-080.10-025.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,,ADD.,ADD.,ADD.,,,,,,,16-080,,10-025,,134,F40BLD
043156405244,LOCK.F40.MER.622.ADD..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,,ADD.,ADD.,ADD.,,,,,,,16-080,,10-027,,134,F40BLD
043156418909,LOCK.F40.MER.622.ADD..16-210.10-063.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,,ADD.,ADD.,ADD.,,,,,,,16-210,,10-063,,134,F40BLDT
043156361953,LOCK.F40.MER.622.AND..16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F40,,MER,622,,,AND.,AND.,AND.,,,,,,,16-080,,10-027,,134,F40BL
