SEGMENT1,DESCRIPTION,INVENTORY_ITEM_STATUS_CODE,MODEL,CATALOG,FUNCION,PACKAGING,OUTSIDEDESIGNDSG,OUTSIDEFINISHFIN,INSIDEDESIGNDSG,INSIDEFINISHFIN,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ROSEOUTSIDEDESIGNDSG,ESCUTCHEONOUTSIDEDESIGNDSG,ROSEOUTSIDEFINISHFIN,ROSEINSIDEDESIGNDSG,ESCUTCHEONINSIDEDESIGNDSG,ROSEINSIDEFINISHFIN,HANDING,LATCH,LATCHFINISHFIN,STRIKE,STRIKEFINISHFIN,DOORTHICKNESS,PLANNER_CODE
194555084322,LOCK.F40.ELA.626.CEN..16-080.10-025.134,ACTIVE,FKL-SLLK,LOCK,F40,,ELA,626,,,CEN.,CEN.,CEN.,,,,,,,16-080,,10-025,,134,F40BLD
194555084339,LOCK.F10.ELA.626.CEN..16-080.10-025.134,ACTIVE,FKL-SLLK,LOCK,F10,,ELA,626,,,CEN.,CEN.,CEN.,,,,,,,16-080,,10-025,,134,F10BLD
194555111189,LOCK.F51A.ELR.608.CEN..16-211.10-058.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ELR,608,,,CEN.,CEN.,CEN.,,,,,,,16-211,,10-058,,134,F51BLDT
194555087378,LOCK.F10.ACC.716.609.AND..RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,ACC,716,,609,AND.,AND.,AND.,,,,,,RH,16-080,,10-027,,134,F10BL
194555087385,LOCK.F51A.BIR.619.COL..16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BIR,619,,,COL.,COL.,COL.,,,,,,,16-211,,10-063,,134,F51BLDT
194555087392,LOCK.F51A.AND.505.716.16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,AND,505,,716,,,,,,,,,,16-211,,10-063,,134,F51BKRT
FKL-SLLK*8693264,LOCK.F51A.GEO.716.16-086.10-027.134.MK.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,GEO,716,,,,,,,,,,,,16-086,,10-027,,134,F51BKR
194555095601,LOCK.F10.PLY.622.MER.619.RH.16-080.10-027.134,ACTIVE,FKL-SLLK,LOCK,F10,,PLY,622,MER,619,,,,,,,,,RH,16-080,,10-027,,134,F10BKR
194555095618,LOCK.F51A.BWE.619.622.ADD..16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,BWE,619,,622,ADD.,ADD.,ADD.,,,,,,,16-211,,10-063,,134,F51BKRDT
194555095649,LOCK.F51A.ACC.716.619.WKF..LH.16-211.10-063.134.KD.C.48-180.2,ACTIVE,FKL-SLLK,LOCK,F51A,,ACC,716,,619,WKF.,WKF.,WKF.,,,,,,LH,16-211,,10-063,,134,F51BLDT
