Sleep_Current,Motor_Peak_Current,
2.493337090636E-05,0.464839448,UNLOCK POSITION CONFIRMATION Error; (1)
2.343550495574E-05,0.491297499,UNLOCK POSITION CONFIRMATION Error; (1)
2.303607403575E-05,0.471077417,Retry:PMC_DIN_WAIT_FOR_STATUS
2.862810691770E-05,0.446703754,OK
2.747974302207E-05,0.457355461,OK
2.458386885068E-05,0.484694992,OK
2.718016983217E-05,0.445048429,OK
2.613166366688E-05,0.450438587,OK
2.613166366688E-05,0.450438587,UNLOCK POSITION CONFIRMATION Error; (1)
3.102469243858E-05,0.466300165,OK
2.847832032268E-05,0.453759514,OK
2.353536268571E-05,0.479998624,OK
2.228714106038E-05,0.453906756,OK
2.643123685673E-05,0.447200645,OK
2.603180593677E-05,0.434017109,OK
2.603180593677E-05,0.434017109,UNLOCK POSITION CONFIRMATION Error; (1)
2.757960075242E-05,0.477946794,OK
2.882782237769E-05,0.446370879,OK
2.533280182654E-05,0.442895372,OK
2.533280182661E-05,0.471170737,OK
2.363522041581E-05,0.478578994,OK
2.603180593685E-05,0.47440818,OK
2.393479360597E-05,0.468581369,Retry:PMC_DIN_WAIT_FOR_STATUS
2.523294409635E-05,0.446296733,OK
2.673081004704E-05,0.456273283,Retry:PMC_DIN_WAIT_FOR_STATUS
2.633137912690E-05,0.456618792,UNLOCK POSITION CONFIRMATION Error; (1)
2.238699879009E-05,0.45491921,OK
2.438415339108E-05,0.477771598,Retry:PMC_DIN_WAIT_FOR_STATUS
2.578216161178E-05,0.462933306,OK
2.453393998630E-05,0.483451162,OK
2.972654194817E-05,0.475145934,OK
2.802896053751E-05,0.478384471,OK
2.423436679605E-05,0.47068867,OK
2.792910280746E-05,0.472023221,TEST KEYS Error Keys Found = 0
2.678073891193E-05,0.471990168,OK
2.902753783751E-05,0.471611806,OK
2.902753783751E-05,0.471611806,UNLOCK POSITION CONFIRMATION Error; (1)
2.902753783748E-05,0.459107849,OK
2.428429566117E-05,0.451614313,OK
2.513308636628E-05,0.466086568,UNLOCK POSITION CONFIRMATION Error; (1)
2.333564722557E-05,0.479088518,OK
2.603180593680E-05,0.482298003,OK
2.997618627296E-05,0.453196812,OK
2.398472247108E-05,0.45825182,TEST KEYS Error Keys Found = 0
2.757960075236E-05,0.450636254,OK
2.747974302191E-05,0.530867622,OK
2.713024096727E-05,0.460971252,OK
2.553251728661E-05,0.530163572,Retry:PMC_DIN_WAIT_FOR_STATUS
2.747974302217E-05,0.533492988,TEST KEYS Error Keys Found = 0
2.593194820674E-05,0.498536402,Retry:PMC_DIN_WAIT_FOR_STATUS
2.568230388161E-05,0.442297875,OK
2.777931621244E-05,0.45936773,OK
2.433422452617E-05,0.477245991,OK
2.418443793101E-05,0.476251755,OK
2.218728333035E-05,0.488609275,OK
2.663095231708E-05,0.473162051,OK
2.403465133604E-05,0.501796515,Retry:PMC_DIN_WAIT_FOR_STATUS
2.563237501669E-05,0.473211631,UNLOCK POSITION CONFIRMATION Error; (1)
2.548258842161E-05,0.47764008,OK
2.887775124235E-05,0.456652048,UNLOCK POSITION CONFIRMATION Error; (1)
2.578216161167E-05,0.470371122,OK
2.413450906601E-05,0.454910175,OK
2.488344204127E-05,0.45390041,OK
2.593194820682E-05,0.470696909,Retry:PMC_DIN_WAIT_FOR_STATUS
2.558244615157E-05,0.455098406,OK
2.633137912692E-05,0.460396974,OK
2.558244615134E-05,0.466773891,OK
2.428429566122E-05,0.46245903,UNLOCK POSITION CONFIRMATION Error; (1)
2.378500701097E-05,0.483641042,OK
2.653109458703E-05,0.513259761,TEST KEYS Error Keys Found = 12
2.668088118210E-05,0.475014066,OK
2.867803578244E-05,0.548762579,OK
2.548258842165E-05,0.470961282,OK
2.683066777705E-05,0.455917539,OK
2.438415339116E-05,0.477949539,Retry:PMC_DIN_WAIT_FOR_STATUS
2.678073891185E-05,0.456812166,OK
2.538273069161E-05,0.474551973,OK
2.668088118205E-05,0.458431511,OK
2.658102345206E-05,0.492452856,OK
2.463379771633E-05,0.463034019,OK
2.583209047634E-05,0.478593173,Retry:PMC_DIN_WAIT_FOR_STATUS
2.548258842164E-05,0.4600925,OK
2.767945848234E-05,0.471564873,OK
2.558244615169E-05,0.554602926,OK
2.952682648791E-05,0.436111077,OK
2.708031210217E-05,0.479622309,Retry:PMC_DIN_WAIT_FOR_STATUS
2.498329977137E-05,0.481462841,OK
2.498329977137E-05,0.481462841,UNLOCK POSITION CONFIRMATION Error; (1)
2.443408225623E-05,0.476683342,UNLOCK POSITION CONFIRMATION Error; (1)
2.483351317635E-05,0.444374766,Retry:KEYS TEST
2.503322863624E-05,0.463106808,OK
2.767945848235E-05,0.449366074,OK
2.393479360603E-05,0.470349408,OK
2.613166366681E-05,0.454661228,OK
2.777931621241E-05,0.487846858,OK
2.488344204134E-05,0.44218678,OK
2.653109458704E-05,0.476079401,OK
2.508315750148E-05,0.47068997,OK
2.553251728644E-05,0.514262784,OK
2.493337090618E-05,0.437331492,TEST KEYS Error Keys Found = 4
2.737988529157E-05,0.463883704,OK
2.752967188734E-05,0.483686427,UNLOCK POSITION CONFIRMATION Error; (1)
2.208742560007E-05,0.451823021,Retry:KEYS TEST
2.538273069126E-05,0.522418436,OK
2.588201934139E-05,0.465298839,OK
2.728002756160E-05,0.459600298,Retry:PMC_DIN_WAIT_FOR_STATUS
2.967661308293E-05,0.471651051,OK
2.473365544632E-05,0.472784038,OK
2.573223274672E-05,0.481106848,OK
2.623152139671E-05,0.591618078,OK
2.313593176575E-05,0.448024372,OK
3.062526151824E-05,0.470821181,OK
2.473365544637E-05,0.445929004,OK
2.822867599757E-05,0.448065065,UNLOCK POSITION CONFIRMATION Error; (1)
2.777931621247E-05,0.452508739,OK
2.663095231706E-05,0.487601012,OK
2.368514928037E-05,0.470491401,OK
2.448401112119E-05,0.469864043,OK
2.613166366661E-05,0.450594714,OK
2.488344204118E-05,0.479326833,UNLOCK POSITION CONFIRMATION Error; (1)
2.628145026154E-05,0.478620641,Retry:PMC_DIN_WAIT_FOR_STATUS
2.263664311539E-05,0.445931054,TEST KEYS Error Keys Found = 0
2.987632854319E-05,0.454913021,OK
2.987632854319E-05,0.454913021,UNLOCK POSITION CONFIRMATION Error; (1)
2.757960075236E-05,0.467418973,OK
2.927718216298E-05,0.539304088,TEST KEYS Error Keys Found = 6
2.658102345184E-05,0.474531452,OK
2.907746670289E-05,0.470106549,UNLOCK POSITION CONFIRMATION Error; (1)
2.418443793099E-05,0.441954661,OK
2.193763900524E-05,0.451073034,OK
2.897760897222E-05,0.458405713,UNLOCK POSITION CONFIRMATION Error; (1)
2.478358431137E-05,0.441593233,OK
2.732995642727E-05,0.460066784,OK
2.723009869726E-05,0.483090725,OK
2.518301523138E-05,0.447103732,OK
2.553251728663E-05,0.476251056,OK
2.463379771606E-05,0.436744693,OK
2.463379771606E-05,0.436744693,UNLOCK POSITION CONFIRMATION Error; (1)
2.588201934182E-05,0.464707636,OK
2.713024096700E-05,0.479404769,TEST KEYS Error Keys Found = 4
2.762952961743E-05,0.456088547,OK
2.443408225610E-05,0.472752086,OK
2.333564722537E-05,0.466513112,Retry:PMC_DIN_WAIT_FOR_STATUS
2.513308636634E-05,0.47850455,OK
2.513308636634E-05,0.47850455,UNLOCK POSITION CONFIRMATION Error; (1)
2.438415339122E-05,0.46928472,OK
2.438415339122E-05,0.46928472,UNLOCK POSITION CONFIRMATION Error; (1)
2.633137912687E-05,0.464325375,OK
2.633137912692E-05,0.472072304,OK
2.513308636622E-05,0.460341594,OK
2.608173480180E-05,0.502208678,OK
2.433422452614E-05,0.489584589,OK
2.892768010758E-05,0.46685168,OK
2.698045437200E-05,0.481439324,OK
2.553251728654E-05,0.509150311,LOCK POSITION CONFIRMATION Error; (0)
2.378500701092E-05,0.488809039,UNLOCK POSITION CONFIRMATION Error; (1)
2.997618627319E-05,0.474855791,OK
2.693052550661E-05,0.466570084,OK
2.528287296099E-05,0.451699944,OK
2.328571836074E-05,0.46634585,OK
3.037561719306E-05,0.453283641,OK
2.613166366664E-05,0.462773191,OK
2.708031210221E-05,0.46412501,OK
2.458386885125E-05,0.465399446,OK
2.458386885118E-05,0.461985004,OK
2.643123685693E-05,0.462049514,OK
2.623152139656E-05,0.46725346,OK
2.418443793108E-05,0.471874334,TEST KEYS Error Keys Found = 0
2.737988529232E-05,0.44926356,OK
2.648116572193E-05,0.489643753,OK
2.708031210196E-05,0.502609063,OK
2.583209047676E-05,0.452597715,OK
2.483351317624E-05,0.475194909,OK
2.757960075237E-05,0.464144532,OK
2.757960075237E-05,0.464144532,UNLOCK POSITION CONFIRMATION Error; (1)
2.418443793103E-05,0.458263855,OK
2.443408225605E-05,0.472043242,OK
2.538273069150E-05,0.482202643,OK
2.503322863628E-05,0.489934788,OK
2.348543382088E-05,0.467754497,OK
2.423436679620E-05,0.475462478,OK
2.877789351278E-05,0.473173185,Retry:KEYS TEST
2.742981415721E-05,0.490242251,OK
2.777931621240E-05,0.448144101,OK
2.553251728656E-05,0.461277563,OK
2.378500701103E-05,0.441517202,OK
2.807888940260E-05,0.469016901,OK
2.807888940260E-05,0.469016901,UNLOCK POSITION CONFIRMATION Error; (1)
2.608173480164E-05,0.476551927,OK
2.728002756228E-05,0.476373082,OK
2.728002756228E-05,0.476373082,UNLOCK POSITION CONFIRMATION Error; (1)
2.688059664211E-05,0.512106052,OK
2.777931621223E-05,0.447583064,OK
2.398472247096E-05,0.475207092,OK
2.443408225604E-05,0.481745389,OK
2.897760897281E-05,0.500592577,TEST KEYS Error Keys Found = 0
2.967661308310E-05,0.436254873,OK
2.623152139672E-05,0.460479698,OK
2.623152139690E-05,0.447359568,OK
2.623152139690E-05,0.447359568,UNLOCK POSITION CONFIRMATION Error; (1)
2.493337090645E-05,0.457649025,OK
2.827860486230E-05,0.450094975,OK
2.473365544606E-05,0.4617081,OK
2.528287296140E-05,0.465519227,OK
2.343550495584E-05,0.461717738,OK
2.877789351270E-05,0.472382611,Retry:PMC_DIN_WAIT_FOR_STATUS
2.313593176573E-05,0.454722339,OK
2.922725329781E-05,0.464400518,UNLOCK POSITION CONFIRMATION Error; (1)
2.922725329781E-05,0.464400518,UNLOCK POSITION CONFIRMATION Error; (1)
2.598187707183E-05,0.488670686,OK
2.208742560019E-05,0.446970183,OK
2.463379771617E-05,0.444846145,OK
2.338557609068E-05,0.478471247,OK
2.822867599765E-05,0.47566524,Retry:KEYS TEST
2.488344204125E-05,0.469037123,OK
2.473365544632E-05,0.477081574,OK
2.623152139692E-05,0.529688898,OK
2.378500701087E-05,0.467816508,OK
3.062526151833E-05,0.457655516,UNLOCK POSITION CONFIRMATION Error; (1)
2.528287296159E-05,0.448568709,Retry:PMC_DIN_WAIT_FOR_STATUS
2.927718216292E-05,0.486745126,OK
2.188771014028E-05,0.464182682,OK
2.787917394243E-05,0.54841692,OK
2.608173480145E-05,0.455256031,OK
2.423436679591E-05,0.477999369,OK
2.558244615164E-05,0.465331395,OK
2.458386885127E-05,0.45984191,OK
2.742981415737E-05,0.479782584,OK
2.678073891214E-05,0.47541185,OK
2.693052550711E-05,0.488431079,OK
2.663095231683E-05,0.465644348,OK
2.927718216281E-05,0.479622509,OK
2.812881826704E-05,0.461064963,OK
2.498329977146E-05,0.473487388,OK
2.393479360589E-05,0.455771247,OK
2.872796464783E-05,0.477620757,OK
2.782924507745E-05,0.479182885,OK
2.398472247110E-05,0.489916264,UNLOCK POSITION CONFIRMATION Error; (1)
2.583209047675E-05,0.45608346,OK
2.623152139688E-05,0.466052618,OK
2.533280182650E-05,0.461941225,OK
2.588201934149E-05,0.480372892,Retry:KEYS TEST
2.638130799199E-05,0.467388766,OK
2.767945848202E-05,0.466533382,OK
2.518301523151E-05,0.449345045,OK
2.468372658126E-05,0.467375335,OK
2.493337090644E-05,0.479576824,Retry:PMC_DIN_WAIT_FOR_STATUS
2.478358431140E-05,0.471945632,OK
2.478358431140E-05,0.471945632,UNLOCK POSITION CONFIRMATION Error; (1)
2.243692765540E-05,0.470257136,Retry:KEYS TEST
2.383493587597E-05,0.506787066,UNLOCK POSITION CONFIRMATION Error; (1)
2.478358431129E-05,0.476440337,UNLOCK POSITION CONFIRMATION Error; (1)
2.648116572199E-05,0.481019172,Retry:PMC_DIN_WAIT_FOR_STATUS
2.518301523140E-05,0.464381146,OK
2.967661308292E-05,0.464321431,OK
2.573223274648E-05,0.497485648,OK
2.683066777713E-05,0.449843743,OK
2.573223274663E-05,0.453617063,UNLOCK POSITION CONFIRMATION Error; (1)
3.332142022905E-05,0.452989006,OK
2.588201934173E-05,0.480042961,OK
3.117447903356E-05,0.545080214,OK
2.892768010768E-05,0.491552736,OK
2.523294409657E-05,0.460232053,OK
2.418443793118E-05,0.477517703,OK
2.558244615168E-05,0.456513042,OK
2.583209047638E-05,0.441339986,OK
2.478358431118E-05,0.450784313,OK
2.663095231664E-05,0.46965,OK
2.388486474094E-05,0.46246727,OK
2.488344204144E-05,0.488744881,OK
2.618159253179E-05,0.541550332,OK
2.583209047672E-05,0.492806006,OK
2.248685652039E-05,0.473320176,OK
2.428429566095E-05,0.457044835,OK
2.812881826740E-05,0.457308211,UNLOCK POSITION CONFIRMATION Error; (1)
2.423436679606E-05,0.511567317,Retry:KEYS TEST
2.563237501667E-05,0.482620693,OK
2.388486474076E-05,0.469990315,OK
2.728002756228E-05,0.479784729,OK
2.742981415736E-05,0.504498771,UNLOCK POSITION CONFIRMATION Error; (1)
2.533280182661E-05,0.464983043,OK
2.688059664203E-05,0.467240726,OK
2.867803578265E-05,0.484225163,OK
2.877789351280E-05,0.487214408,OK
2.478358431129E-05,0.458258958,OK
2.673081004707E-05,0.469876778,OK
2.767945848229E-05,0.479419198,OK
2.553251728607E-05,0.475800796,OK
2.742981415723E-05,0.469396309,OK
2.428429566117E-05,0.445837887,OK
2.708031210194E-05,0.462461327,OK
2.847832032270E-05,0.465112256,OK
2.737988529197E-05,0.466976056,OK
2.488344204125E-05,0.467963699,OK
2.418443793085E-05,0.477925723,OK
2.408458020114E-05,0.471629282,OK
2.653109458690E-05,0.471163894,OK
2.408458020107E-05,0.454190896,OK
2.533280182661E-05,0.456411586,OK
2.343550495585E-05,0.451470818,Retry:KEYS TEST
2.852824918769E-05,0.474616732,OK
2.313593176575E-05,0.449841237,OK
2.638130799198E-05,0.459473179,OK
2.817874713174E-05,0.478533559,OK
2.563237501660E-05,0.466720617,OK
2.812881826737E-05,0.48057251,OK
2.732995642722E-05,0.470675838,OK
2.732995642722E-05,0.470675838,UNLOCK POSITION CONFIRMATION Error; (1)
2.613166366684E-05,0.475693399,OK
2.448401112123E-05,0.483239963,OK
2.278642971058E-05,0.466538177,OK
2.593194820674E-05,0.467593873,OK
2.618159253186E-05,0.447307094,OK
2.618159253186E-05,0.447307094,UNLOCK POSITION CONFIRMATION Error; (1)
3.012597286786E-05,0.456722245,OK
